url,review_score
https://www.airbnb.co.kr/rooms/760761456373099369?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669352802_wTPZf8VzLh8QseDf,4.99
https://www.airbnb.co.kr/rooms/568635117967775978?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669352833_ugJCVBrBNWFfQZyK,4.71
https://www.airbnb.co.kr/rooms/718739115248705680?adults=1&children=0&infants=0&pets=0&check_in=2023-01-27&check_out=2023-01-29&source_impression_id=p3_1669352851_TaGAZ%2FRsJKvqyRVP,4.94
https://www.airbnb.co.kr/rooms/756788528023781307?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669352869_O4d0JTIgsiu1NE%2B7,
https://www.airbnb.co.kr/rooms/50644364?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669352902_m9Wc3VAKvqzgwSJa,
https://www.airbnb.co.kr/rooms/759946364464298922?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669352934_KoDico9e5A8TnRrp,
https://www.airbnb.co.kr/rooms/620034562409865445?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669352966_58drcHYjkXDmfECW,3.99
https://www.airbnb.co.kr/rooms/29116522?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669352986_eMcm1vSAnuJwgQxn,4.79
https://www.airbnb.co.kr/rooms/761359483617601991?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353006_Yj8ymI7HjuY9huDh,5.02
https://www.airbnb.co.kr/rooms/765986377367131291?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353040_PykgF8VSlNd7ViXe,
https://www.airbnb.co.kr/rooms/623592933869884176?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353120_cO2urZQQsL3LzFgK,4.58
https://www.airbnb.co.kr/rooms/42133175?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669353143_DTm9TQmQtUFk7zAk,4.73
https://www.airbnb.co.kr/rooms/53857504?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353161_LXTvnkuKD30tthic,4.69
https://www.airbnb.co.kr/rooms/761387010673893624?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669353180_TLPx9PbWbx5f7p1n,5.03
https://www.airbnb.co.kr/rooms/39980455?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353208_cAIxa%2BUyPlEiIK1t,4.78
https://www.airbnb.co.kr/rooms/46957072?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353227_rCXL6WSwGTFfvvnj,4.32
https://www.airbnb.co.kr/rooms/13216190?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353247_sIoNslpUueLId8Kb,4.61
https://www.airbnb.co.kr/rooms/624296496094345092?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353264_Jpi3smnNqBePN9u%2B,4.78
https://www.airbnb.co.kr/rooms/51530217?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353287_hcVbrLswjyyahgfW,4.73
https://www.airbnb.co.kr/rooms/34071274?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669353310_JK2VQckoqiJ%2FGeEv,3.93
https://www.airbnb.co.kr/rooms/24025879?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353328_WiTUrKuu39T%2FoEyr,4.23
https://www.airbnb.co.kr/rooms/754645700648006141?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353347_VShb65YWdNwAyV0x,4.68
https://www.airbnb.co.kr/rooms/49543108?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353372_wq21KxIPjy7haKzC,4.48
https://www.airbnb.co.kr/rooms/53579195?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353391_7Zs2LPNfVAKv%2B6%2Fn,4.01
https://www.airbnb.co.kr/rooms/766317772422920053?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669353411_9NHF%2Fwbci7J6DPIj,
https://www.airbnb.co.kr/rooms/40975452?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669353446_PU%2FtIRUKqmQMNBec,4.62
https://www.airbnb.co.kr/rooms/750512986997624556?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669353462_prS16ZphXSoosYd3,
https://www.airbnb.co.kr/rooms/44450553?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353495_QKQpjdghaEQmeXwi,4.92
https://www.airbnb.co.kr/rooms/641492644602409961?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669353511_j4pcltf5IIatEzT%2B,4.62
https://www.airbnb.co.kr/rooms/760749861475850812?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353537_dEjquLHL8HdpJZvH,4.51
https://www.airbnb.co.kr/rooms/623592933869884176?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353607_H0GmwdelJTTjaPKW,4.58
https://www.airbnb.co.kr/rooms/43718205?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353630_OuuZ8pDk1%2BZyo4J5,3.51
https://www.airbnb.co.kr/rooms/39980455?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353649_vzOhxPH%2Bjs09Lf4O,4.78
https://www.airbnb.co.kr/rooms/54257212?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353668_P%2BYgCiwW1D9bccvl,4.69
https://www.airbnb.co.kr/rooms/51875134?adults=1&children=0&infants=0&pets=0&check_in=2023-01-27&check_out=2023-01-29&source_impression_id=p3_1669353690_DQp0beXUJ%2FakNPgz,4.87
https://www.airbnb.co.kr/rooms/42336848?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353706_ROwrTWFYBDpgTwSB,4.73
https://www.airbnb.co.kr/rooms/46957072?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353724_FaC4ilAsfugSzo0t,4.72
https://www.airbnb.co.kr/rooms/594504782648754887?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669353746_71E%2BBuB%2BTanagpdc,4.59
https://www.airbnb.co.kr/rooms/49543108?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353765_qWgmBRQmP8s1lfW7,4.48
https://www.airbnb.co.kr/rooms/48320386?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353784_oEjZDJuRqqG7iyPB,4.65
https://www.airbnb.co.kr/rooms/596557615293910903?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669353800_A1ZHe3p0Z77kN4rK,4.83
https://www.airbnb.co.kr/rooms/43081036?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669353819_K0%2Fw%2B4UUyAbDWV1n,4.45
https://www.airbnb.co.kr/rooms/40117530?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669353838_Yz6wjsYBYGhN0Jzw,4.7
https://www.airbnb.co.kr/rooms/633142080750816835?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353854_TqyTdGvd6XoY6mtk,4.84
https://www.airbnb.co.kr/rooms/683864721098941988?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353876_kHQSBl%2FEgqUyhIVw,4.64
https://www.airbnb.co.kr/rooms/646928160062496906?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669353894_wocEZlVp2sQ9DDay,4.66
https://www.airbnb.co.kr/rooms/50219977?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669353913_Pmyx75mbuFN4%2BHtU,4.49
https://www.airbnb.co.kr/rooms/42133175?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669353929_Fz%2BFi3AJFxdDpIm9,4.73
https://www.airbnb.co.kr/rooms/13216190?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353945_mFBsiU7OdVMdfzEy,4.61
https://www.airbnb.co.kr/rooms/765986377367131291?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669353963_rrfcgf1%2FFUZlq0M4,
https://www.airbnb.co.kr/rooms/623592933869884176?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354042_VsPEm107H1RRN7mN,4.58
https://www.airbnb.co.kr/rooms/42133175?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669354065_xu5BOTazO1Y4D5rP,4.73
https://www.airbnb.co.kr/rooms/53857504?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354081_EMGc%2BxcGVLqkNFzU,4.69
https://www.airbnb.co.kr/rooms/761387010673893624?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669354099_K%2FChJZZP87MKnduZ,5.03
https://www.airbnb.co.kr/rooms/39980455?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354130_jZCQbQl%2B34yrI%2Fou,4.78
https://www.airbnb.co.kr/rooms/46957072?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354148_gqy4od%2BQpsNffXlp,4.35
https://www.airbnb.co.kr/rooms/13216190?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354169_JNHh1truWgqdRr43,4.61
https://www.airbnb.co.kr/rooms/624296496094345092?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354185_oYXWcL1KEDLjnMdK,4.78
https://www.airbnb.co.kr/rooms/51530217?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354208_xJ5I7gDb3TFgS2xm,4.73
https://www.airbnb.co.kr/rooms/34071274?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669354232_1SYyVI%2BPuDDna5Ee,3.93
https://www.airbnb.co.kr/rooms/24025879?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354250_xDH1%2FhLr1XUDhPVn,4.23
https://www.airbnb.co.kr/rooms/754645700648006141?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354269_97gpyRqiVciVgoh8,4.68
https://www.airbnb.co.kr/rooms/49543108?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354294_cOQSlZ1ImTgzi%2Flw,4.48
https://www.airbnb.co.kr/rooms/53579195?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354314_BBfURzw0XgtQoQ2V,4.01
https://www.airbnb.co.kr/rooms/766317772422920053?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669354332_6qFBvjH6PI12eTW6,
https://www.airbnb.co.kr/rooms/40975452?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669354367_RMfUhuMIpH%2Ff2wEX,3.7
https://www.airbnb.co.kr/rooms/750512986997624556?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669354382_yBsjYb9upGZY%2Fl2G,
https://www.airbnb.co.kr/rooms/44450553?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354415_CyfMEm6xBgnNv%2FRc,4.92
https://www.airbnb.co.kr/rooms/641492644602409961?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669354431_c6Z772zGtp2QxsU%2F,4.62
https://www.airbnb.co.kr/rooms/760749861475850812?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354455_KqQqAeeijFvOTU9t,4.51
https://www.airbnb.co.kr/rooms/623592933869884176?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354526_u94ZFuV1ucunzSB5,4.58
https://www.airbnb.co.kr/rooms/43718205?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354548_Q1XW9O%2B5VZLbisLb,3.51
https://www.airbnb.co.kr/rooms/39980455?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354567_f7t1t%2Bb21rOyTpi%2B,4.78
https://www.airbnb.co.kr/rooms/54257212?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354586_2Q8S0ZDZMSWkgUQ4,4.69
https://www.airbnb.co.kr/rooms/51875134?adults=1&children=0&infants=0&pets=0&check_in=2023-01-27&check_out=2023-01-29&source_impression_id=p3_1669354607_DUmviqt4gTe80ZZP,4.87
https://www.airbnb.co.kr/rooms/42336848?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354623_kQNlHivzXYlA9rTT,4.73
